word,mean_RT,acc,N_corr,N_wrg,Length(N_letters),NSyll,OLD,raw_KF,raw_CELEX,raw_BNC,raw_COCA,raw_ANC,raw_SUBTLEX-UK,raw_SUBTLEX-US,raw_HAL,raw_Worldlex,raw_Usenet,raw_BlogFreq,raw_TwitterFreq,raw_NewsFreq,raw_GB_AmE,raw_GB_BrE,zipf_KF,zipf_Celex,zipf_BNC,zipf_COCA,zipf_ANC,zipf_SUBTLEX-UK,zipf_SUBTLEX-US,zipf_HAL,zipf_USENET,zipf_WorldLex,zipf_Blog,zipf_Twitter,zipf_News,zipf_GB_AmE,zipf_GB_BrE,subj_Freq_ratings
breed,793.2,0.861,62,10,5,1,1.55,17,206,1930,5029,204,3674,323,15241,798,109725,353,180,265,1244322,487360,4.23,4.05,4.28,3.98,3.96,4.26,3.8,4.54,4.15,3.88,3.96,3.76,3.87,3.9,4.16,3.74
broader,865.56,0.931,67,5,7,2,1.95,19,144,1404,12021,391,1096,34,3010,1116,44503,292,61,763,2052104,528424,4.27,3.89,4.14,4.36,4.24,3.74,2.84,3.83,3.76,4.03,3.88,3.3,4.33,4.12,4.19,3.77
bump,851.63,0.736,53,19,4,1,1.45,5,107,448,4034,105,1839,630,2682,1123,29156,323,464,336,255528,50766,3.75,3.76,3.65,3.89,3.67,3.96,4.09,3.78,3.57,4.03,3.93,4.17,3.98,3.22,3.17,3.26
burial,960.13,0.556,40,32,6,2,2.2,11,163,910,3816,140,995,242,1101,463,20022,191,40,232,1328465,566070,4.05,3.94,3.96,3.86,3.8,3.69,3.68,3.4,3.41,3.65,3.7,3.12,3.82,3.93,4.22,2.71
bus,621.29,1,72,0,3,1,1.15,34,1155,5465,27560,956,11117,3783,35778,8409,197887,2309,3574,2526,2537505,748814,4.52,4.79,4.73,4.72,4.63,4.74,4.87,4.91,4.41,4.9,4.78,5.06,4.85,4.21,4.34,5.6
business,680.94,0.958,69,3,8,2,2.6,392,4234,35758,169949,6873,59630,16371,156876,34395,3679061,9162,9065,16168,33660000,7310136,5.57,5.36,5.55,5.51,5.49,5.47,5.51,5.55,5.67,5.52,5.38,5.46,5.66,5.34,5.33,5.74
buy,633.35,1,72,0,3,1,1.3,70,2260,12538,69243,4080,46980,9814,130387,21717,946483,7533,8558,5626,6730450,1536827,4.82,5.08,5.09,5.12,5.26,5.37,5.28,5.47,5.08,5.32,5.29,5.44,5.2,4.64,4.65,5.8
calmer,943.73,0.819,59,13,6,2,1.85,2,31,180,919,35,380,36,315,170,3287,88,27,55,169073,61458,3.45,3.23,3.25,3.25,3.21,3.28,2.86,2.86,2.63,3.21,3.36,2.95,3.2,3.04,3.26,2.46
capable,799.64,0.931,67,5,7,3,2.2,66,961,4944,18136,767,4658,1062,21671,2475,314184,1224,335,916,7342390,2580072,4.8,4.71,4.69,4.54,4.54,4.36,4.32,4.69,4.61,4.37,4.5,4.03,4.41,4.68,4.88,4.89
capture,754.87,0.958,69,3,7,2,2.1,17,213,1400,13049,613,3126,540,10098,1912,134105,954,286,672,2847632,925883,4.23,4.06,4.14,4.4,4.44,4.19,4.02,4.36,4.24,4.26,4.39,3.96,4.28,4.26,4.43,3.71
cart,847.57,0.736,53,19,4,1,1,5,158,992,6969,135,1198,461,5925,1398,38434,529,409,460,1078605,435337,3.75,3.93,3.99,4.13,3.78,3.77,3.96,4.13,3.69,4.12,4.14,4.12,4.11,3.84,4.11,2.57
caught,671.73,0.986,71,1,6,1,2.05,98,1980,8693,49269,1448,18351,4791,22729,8513,330774,3254,2268,2991,6807833,1818245,4.97,5.03,4.93,4.97,4.81,4.96,4.97,4.71,4.63,4.91,4.93,4.86,4.93,4.64,4.73,4.89
